player_name,product_link,product_title,price,availability,Presentation,SKU,Product type(s),Signed by,Team Name,Presentation type,Bin Number,Getty Images,Source,Presentation size,Photo size,Signing Date,Signing Location,Additional Signing Date 2
Kevin De Bruyne,https://www.icons.com/kevin-de-bruyne-back-signed-belgium-2022-home-shirt-96013.html,Kevin De Bruyne Back Signed Belgium 2022 Home Shirt,349.99,False,,I1734,Signed shirts,Kevin De Bruyne,Belgium,Unframed,O5,N/A,KLF Sports,,,11 Apr 2023,Manchester,
Kevin De Bruyne,https://www.icons.com/kevin-de-bruyne-signed-manchester-city-2020-21-home-shirt.html,Kevin De Bruyne Signed Manchester City 2020-21 Home Shirt,499.99,False,,A11027,Signed shirts,Kevin De Bruyne,,Unframed,N8,N/A,,,,,,
Kevin De Bruyne,https://www.icons.com/kevin-de-bruyne-back-signed-belgium-2020-21-home-shirt-in-hero-frame-option-1-83704.html,Kevin De Bruyne Back Signed Belgium 2020-21 Home Shirt In Hero Frame: Option 1,599.99,False,,ICKDBBS2HF1,Signed shirts,Kevin De Bruyne,,Framed,J7,N/A,,1015mm (W) x 750mm (H) x 25mm (D),,,,
Kevin De Bruyne,https://www.icons.com/kevin-de-bruyne-back-signed-belgium-2020-21-home-shirt-in-classic-frame-1.html,Kevin De Bruyne Back Signed Belgium 2020-21 Home Shirt In Classic Frame,574.99,False,,ICKDBBS2CF,Signed shirts,Kevin De Bruyne,,Framed,J7,"1183455169, 1183454961",,885mm (H) x 780mm (W) x 30mm (D),,,,
Jordi Alba,https://www.icons.com/jordi-alba-signed-spain-photo-in-black-wooden-frame-2012-uefa-euro-2012-final-goal-89548.html,PRE-FRAMED Jordi Alba Signed Spain Photo In Black Wooden Frame: UEFA EURO 2012 Final Goal,103.99,True,,I2489BWFPF,Signed photos,Jordi Alba,Spain,Framed,,N/A,Icons Shop Limited,570mm (H) x 470mm (W) x 30mm (D),16 x 12 inches,20 Nov 2023,Barcelona,
Jordi Alba,https://www.icons.com/dida-brazil-gianluigi-buffon-italy-signed-photos-in-dual-photo-frame-5.html,Jordi Alba FC Barcelona & Jordi Alba Spain Signed Photos In Dual Photo Frame,299.99,True,,I2490I2489DP,Signed photos,Jordi Alba,,Framed,Z993,N/A,Icons Shop Limited,,16 x 12 inches,,,
Jordi Alba,https://www.icons.com/jordi-alba-signed-fc-barcelona-photo-in-black-wooden-frame-2010-uefa-champions-league-winner-84707.html,Jordi Alba Signed FC Barcelona Photo In Premium Photo Frame: 2015 UEFA Champions League Winner,179.99,True,,I2490PPF,Signed photos,Jordi Alba,FC Barcelona,Framed,Z993,N/A,Icons Shop Limited,,16 x 12 inches,20 Nov 2023,Barcelona,
Jordi Alba,https://www.icons.com/jordi-alba-signed-spain-photo-in-black-wooden-frame-2012-uefa-euro-2012-final-goal-89547.html,Jordi Alba Signed Spain Photo In Premium Photo Frame: UEFA EURO 2012 Final Goal,179.99,True,,I2489PPF,Signed photos,Jordi Alba,Spain,Framed,X998,N/A,Icons Shop Limited,,16 x 12 inches,20 Nov 2023,Barcelona,
Jordi Alba,https://www.icons.com/jordi-alba-signed-adidas-copa-football-boot-17053.html,Jordi Alba Signed Adidas Copa Football Boot In Bubble Frame: Option 1,324.99,True,,I2487BUBF1,Signed boots,Jordi Alba,FC Barcelona,Framed,P3,N/A,Icons Shop Limited,,,20 Nov 2023,Barcelona,
Jordi Alba,https://www.icons.com/gareth-bale-signed-red-adidas-x-boot-in-case-40868.html,Jordi Alba Signed Adidas Copa Football Boot In Acrylic Case,224.99,True,,I2487AD,Signed boots,Jordi Alba,FC Barcelona,Acrylic Cased,P3,N/A,Icons Shop Limited,340mm (W) x 230mm (D) x 190mm (H),,20 Nov 2023,Barcelona,
Jordi Alba,https://www.icons.com/jordi-alba-signed-spain-photo-in-black-wooden-frame-2012-uefa-euro-2012-final-goal-89546.html,Jordi Alba Signed Spain Photo In Black Wooden Frame: UEFA EURO 2012 Final Goal,129.99,True,,I2489BWF,Signed photos,Jordi Alba,Spain,Framed,X998,N/A,Icons Shop Limited,570mm (H) x 470mm (W) x 30mm (D),16 x 12 inches,20 Nov 2023,Barcelona,
Jordi Alba,https://www.icons.com/jordi-alba-signed-fc-barcelona-photo-in-black-wooden-frame-2010-uefa-champions-league-winner-84706.html,Jordi Alba Signed FC Barcelona Photo In Black Wooden Frame: 2015 UEFA Champions League Winner,129.99,True,,I2490BWF,Signed photos,Jordi Alba,FC Barcelona,Framed,Z993,N/A,Icons Shop Limited,570mm (H) x 470mm (W) x 30mm (D),16 x 12 inches,20 Nov 2023,Barcelona,
Jordi Alba,https://www.icons.com/jordi-alba-official-fc-barcelona-back-signed-and-framed-2022-23-home-shirt-23540.html,Jordi Alba Official FC Barcelona Back Signed and Framed 2022-23 Home Shirt,449.99,True,,I2492FCBF,Signed shirts,Jordi Alba,FC Barcelona,Framed,K4,N/A,Icons Shop Limited,920mm (H) x 1120mm (W) x 20mm (D),,20 Nov 2023,Barcelona,
Jordi Alba,https://www.icons.com/jordi-alba-back-signed-fc-barcelona-2022-23-home-shirt-inscription-mes-que-en-club-in-hero-frame-option-1-87269.html,Jordi Alba Back Signed FC Barcelona 2022-23 Home Shirt Inscription -  Mes Que En Club In Hero Frame: Option 1,699.99,False,,I2499HF1,Signed shirts,Jordi Alba,FC Barcelona,Framed,K17,N/A,Icons Shop Limited,1015mm (W) x 750mm (H) x 25mm (D),,20 Nov 2023,Barcelona,
Jordi Alba,https://www.icons.com/jordi-alba-back-signed-fc-barcelona-2022-23-home-shirt-inscription-mes-que-en-club-in-classic-frame-41026.html,Jordi Alba Back Signed FC Barcelona 2022-23 Home Shirt Inscription -  Mes Que En Club In Classic Frame,674.99,False,,I2499CF,Signed shirts,Jordi Alba,FC Barcelona,Framed,K17,N/A,Icons Shop Limited,885mm (H) x 780mm (W) x 30mm (D),,20 Nov 2023,Barcelona,
Jordi Alba,https://www.icons.com/jordi-alba-back-signed-spain-2022-home-shirt-inscription-campeones-de-europa-2012-in-hero-frame-option-1-71056.html,Jordi Alba Back Signed Spain 2022 Home Shirt Inscription - Campeones De Europa 2012 In Hero Frame: Option 1,699.99,False,,I2500HF1,Signed shirts,Jordi Alba,Spain,Framed,O18,N/A,Icons Shop Limited,1015mm (W) x 750mm (H) x 25mm (D),,20 Nov 2023,Barcelona,
Jordi Alba,https://www.icons.com/jordi-alba-back-signed-spain-2022-home-shirt-inscription-campeones-de-europa-2012-in-classic-frame-89472.html,Jordi Alba Back Signed Spain 2022 Home Shirt Inscription - Campeones De Europa 2012 In Classic Frame,674.99,False,,I2500CF,Signed shirts,Jordi Alba,Spain,Framed,O18,N/A,Icons Shop Limited,885mm (H) x 780mm (W) x 30mm (D),,20 Nov 2023,Barcelona,
Jordi Alba,https://www.icons.com/jordi-alba-back-signed-spain-2022-home-shirt-in-hero-frame-option-1-98456.html,Jordi Alba Back Signed Spain 2022 Home Shirt In Hero Frame: Option 1,399.99,False,,I2491HF1,Signed shirts,Jordi Alba,Spain,Framed,O11,N/A,Icons Shop Limited,1015mm (W) x 750mm (H) x 25mm (D),,20 Nov 2023,Barcelona,
Jordi Alba,https://www.icons.com/jordi-alba-back-signed-spain-2022-home-shirt-in-classic-frame-32159.html,Jordi Alba Back Signed Spain 2022 Home Shirt In Classic Frame,374.99,False,,I2491CF,Signed shirts,Jordi Alba,Spain,Framed,O11,N/A,Icons Shop Limited,885mm (H) x 780mm (W) x 30mm (D),,20 Nov 2023,Barcelona,
